站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
家樂福鳳山店站,高雄市鳳山區中山西路236號(近家樂福機車服務中心),09:00 ~ 23:00,已啟用,22.627902,120.347984,https://cdn.gogoro.com/resources/images/gostations/TW8306801A_01.jpg
家樂福鼎山店站,高雄市三民區大順二路849號(鼎山街機車停車場),24HR,已啟用,22.652947,120.318479,https://cdn.gogoro.com/resources/images/gostations/TW8078701A_01.jpg
家樂褔便利購豐南店站,台中市豐原區豐南街118號(近豐南街與豐南街92巷交叉口),24HR,已啟用,24.239249,120.714666,https://cdn.gogoro.com/resources/images/gostations/TW4205201A_01.jpg
山隆中和加油站,新北市中和區中正路1178號(近板南路/中正路交接口),24HR,已啟用,25.009606,121.481719,https://cdn.gogoro.com/resources/images/gostations/TW2358601A_01.jpg
山隆林口加油站,新北市林口區文化二路二段553號(近中華路/文化二路口),24HR,已啟用,25.090349,121.383464,https://cdn.gogoro.com/resources/images/gostations/TW2445801A_01.jpg
山隆興隆加油站,新北市三重區重新路五段628號(近家樂福重新店),24HR,已啟用,25.044862,121.469163,https://cdn.gogoro.com/resources/images/gostations/TW2415802A_01.jpg
山隆華中加油站,台北市萬華區萬大路388號(近東園國小),24HR,已啟用,25.021848,121.498647,https://cdn.gogoro.com/resources/images/gostations/TW1086901A_01.jpg
山隆萬大加油站,台北市萬華區萬大路207號(近萬大路/西藏路口),24HR,已啟用,25.027161,121.500717,https://cdn.gogoro.com/resources/images/gostations/TW1087901A_01.jpg
山隆蘆竹加油站,桃園市蘆竹區南崁路二段532號(近南崁路/富國路口),24HR,已啟用,25.063696,121.265244,https://cdn.gogoro.com/resources/images/gostations/TW3384901A_01.jpg
山隆鶯歌加油站,新北市鶯歌區永和二街28號(近大湖路/永和街口),24HR,已啟用,24.971661,121.336631,https://cdn.gogoro.com/resources/images/gostations/TW2394301A_01.jpg
山隆龍興加油站,桃園市中壢區龍興路693號(近家樂福中壢店),24HR,已啟用,24.944908,121.245065,https://cdn.gogoro.com/resources/images/gostations/TW3209101A_01.jpg
康定路機車停車場站,台北市萬華區康定路30巷旁(近康定路/峨眉街口),24HR,已啟用,25.044355,121.502594,https://cdn.gogoro.com/resources/images/gostations/TW1084302A_01.jpg
德志茶園站,新北市坪林區北宜路八段239號(近坪林旅遊服務中心),24HR,已啟用,24.935095,121.709245,https://cdn.gogoro.com/resources/images/gostations/TW2324101A_01.jpg
愛買板橋南雅店(建置中),新北市板橋區貴興路101號(近新北市立圖書館總館),24HR,建置中,25.002626,121.456311,https://cdn.gogoro.com/resources/images/gostations/TW2206002A_01.jpg
