VmId,站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
0d731bf3-0eed-411d-8af7-369cb204100a,台糖永安加油站,台南市永康區永安路350號(近永安橋),24HR,已啟用,23.049354,120.241017,https://cdn.gogoro.com/resources/images/gostations/TW7108101A_01.jpg
0d74ca55-ff0e-48d0-b65d-457ee3b6f14b,台亞精武加油站,台中市東區精武東路42號(近精武東路與東英路交叉口),24HR,已啟用,24.148027,120.706069,https://cdn.gogoro.com/resources/images/gostations/TW4014701A_01.jpg
0effd2cc-a8d9-4447-ad78-9442c41e513a,Global Mall 屏東站,屏東縣屏東市仁愛路90號(近屏東女中),24HR,已啟用,22.673036,120.493050,https://cdn.gogoro.com/resources/images/gostations/TW9004101A_01.jpg
0f4f9a7f-06a1-462d-9372-22607ca69fb0,Gogoro 台南中華西授權經銷門市站,台南市安平區中華西路二段57號(近家樂福安平店),24HR,已啟用,22.988071,120.186714,https://cdn.gogoro.com/resources/images/gostations/TW7084401A_01.jpg
0f69395c-98bd-45d0-b2d0-45b711d1f45e,中油建工路加油站,高雄市三民區建工路566號(近中華電信對面),24HR,已啟用,22.650384,120.324435,https://cdn.gogoro.com/resources/images/gostations/TW8077801A_01.jpg
101f5f56-0c7b-4570-b58d-14e14c0c9233,台灣表面黏著科技站,桃園市桃園區桃鶯路437號(近可口可樂世界博物館),24HR,已啟用,24.978821,121.321589,https://cdn.gogoro.com/resources/images/gostations/TW3306801A_01.jpg
10ce873c-b233-4556-9caf-f66ccf0b207d,全聯鳳山國泰店站,高雄市鳳山區國泰路一段2號(近中山公園),24HR,已啟用,22.614691,120.362511,https://cdn.gogoro.com/resources/images/gostations/TW8306101A_01.jpg
11aacec2-81eb-4847-824a-9fbf6bf7c3df,中油中苗加油站,苗栗縣苗栗市中正路442號(近大川醫院),24HR,已啟用,24.560281,120.821368,https://cdn.gogoro.com/resources/images/gostations/TW3604301A_01.jpg
12a512d0-58bc-4e2b-b782-40ff6f490636,Gogoro 台中三民店站,台中市北區三民路三段146號(近中友百貨),24HR,已啟用,24.151344,120.684871,https://cdn.gogoro.com/resources/images/gostations/TW4044501A_01.jpg
13635204-5807-4546-9bf4-e0bf637e0817,中油橋頭加油站,高雄市橋頭區成功北路15號(近橋頭火車站),24HR,已啟用,22.762616,120.308132,https://cdn.gogoro.com/resources/images/gostations/TW8254801A_01.jpg
1367634b-64c4-4bbc-9442-44ea2a6e22b5,八里公兒四站,新北市八里區文昌路與文昌一街交叉口(近十三行博物館),24HR,已啟用,25.156588,121.410908,https://cdn.gogoro.com/resources/images/gostations/TW2494301A_01.jpg
1380f7ee-6430-42d0-9cc8-0a3cb6faa832,車太炫自助洗車三重重新店站,新北市三重區疏洪東路一段58號(近重新橋下),24HR,已啟用,25.052714,121.484242,https://cdn.gogoro.com/resources/images/gostations/TW2416102A_01.jpg
